GameId,Team,Date,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,+/-,drop_this
0,Washington Wizards,Oct 30 2012,Trevor Ariza,24:35,3,8,37.5,2,4,50.0,1,2,50.0,1,2,3,4,0,3,2,0,9,-9,
0,Washington Wizards,Oct 30 2012,Trevor Booker,16:45,2,9,22.2,0,1,0.0,0,0,0.0,1,0,1,1,4,1,1,4,4,-15,
0,Washington Wizards,Oct 30 2012,Emeka Okafor,24:35,4,10,40.0,0,0,0.0,2,4,50.0,5,2,7,0,1,0,4,1,10,-5,
0,Washington Wizards,Oct 30 2012,Bradley Beal,21:33,2,8,25.0,2,4,50.0,2,2,100,0,3,3,3,2,1,0,1,8,-16,
0,Washington Wizards,Oct 30 2012,AJ Price,29:24,2,13,15.4,2,9,22.2,1,1,100,1,1,2,6,1,0,0,1,7,-11,
0,Washington Wizards,Oct 30 2012,Jan Vesely,21:14,3,4,75.0,0,0,0.0,1,4,25.0,3,1,4,1,1,0,1,3,7,-2,
0,Washington Wizards,Oct 30 2012,Martell Webster,23:25,4,6,66.7,1,3,33.3,0,0,0.0,0,3,3,1,0,2,0,1,9,-1,
0,Washington Wizards,Oct 30 2012,Jordan Crawford,28:42,4,13,30.8,0,6,0.0,3,4,75.0,1,2,3,5,1,1,1,1,11,0,
0,Washington Wizards,Oct 30 2012,Chris Singleton,17:11,2,7,28.6,0,1,0.0,0,0,0.0,2,2,4,2,1,2,0,2,4,1,
0,Washington Wizards,Oct 30 2012,Jannero Pargo,16:21,2,6,33.3,1,4,25.0,2,2,100,0,1,1,3,1,0,0,3,7,7,
0,Washington Wizards,Oct 30 2012,Earl Barron,16:15,4,6,66.7,0,0,0.0,0,1,0.0,4,4,8,0,0,1,1,2,8,1,
0,Washington Wizards,Oct 30 2012,Totals:,32,90,35.6,8,32,25.0,12,20,60.0,18,21,39,26,12,11,10,19,84,-10,
0,Cleveland Cavaliers,Oct 30 2012,Alonzo Gee,33:53,2,9,22.2,0,2,0.0,0,0,0.0,2,1,3,2,3,2,0,5,4,14,
0,Cleveland Cavaliers,Oct 30 2012,Tristan Thompson,31:31,5,8,62.5,0,0,0.0,2,4,50.0,3,7,10,5,2,1,0,2,12,20,
0,Cleveland Cavaliers,Oct 30 2012,Anderson Varejao,37:22,3,7,42.9,0,0,0.0,3,3,100,12,11,23,9,1,0,2,4,9,7,
0,Cleveland Cavaliers,Oct 30 2012,Dion Waiters,28:14,6,14,42.9,2,5,40.0,3,4,75.0,0,2,2,0,3,3,0,0,17,13,
0,Cleveland Cavaliers,Oct 30 2012,Kyrie Irving,34:34,11,20,55.0,3,6,50.0,4,5,80.0,0,6,6,3,4,0,1,4,29,23,
0,Cleveland Cavaliers,Oct 30 2012,CJ Miles,17:42,1,5,20.0,0,1,0.0,0,0,0.0,0,4,4,1,3,0,0,0,2,2,
0,Cleveland Cavaliers,Oct 30 2012,Tyler Zeller,14:53,2,4,50.0,0,0,0.0,1,2,50.0,0,2,2,0,0,1,1,2,5,4,
