home,away,date,prediction
ORL,BKN,08/11/2020,0.28599196672439575
SAS,HOU,08/11/2020,0.40815305709838867
PHI,PHX,08/11/2020,0.6039414405822754
MEM,BOS,08/11/2020,0.5694465637207031
DAL,POR,08/11/2020,0.5153972506523132
SAC,NOP,08/11/2020,0.404193252325058
WAS,MIL,08/11/2020,0.7078497409820557
HOU,IND,08/12/2020,0.5343103408813477
PHI,TOR,08/12/2020,0.5273289084434509
OKC,MIA,08/12/2020,0.39475998282432556
DEN,LAC,08/12/2020,0.6433162093162537
DEN,UTA,08/17/2020,0.46124887466430664
TOR,BKN,08/17/2020,0.2090366780757904
BOS,PHI,08/17/2020,0.26130691170692444
LAC,DAL,08/17/2020,0.26438891887664795
MIL,ORL,08/18/2020,0.20270061492919922
IND,MIA,08/18/2020,0.30748069286346436
HOU,OKC,08/18/2020,0.5690732598304749
LAL,POR,08/18/2020,0.5324639081954956
TOR,BKN,08/19/2020,0.23960113525390625
DEN,UTA,08/19/2020,0.39531993865966797
BOS,PHI,08/19/2020,0.29333993792533875
LAC,DAL,08/19/2020,0.2563571035861969
IND,MIA,08/20/2020,0.30748069286346436
HOU,OKC,08/20/2020,0.5690732598304749
MIL,ORL,08/20/2020,0.2797123193740845
LAL,POR,08/20/2020,0.5234408378601074
BKN,TOR,08/21/2020,0.5809406638145447
UTA,DEN,08/21/2020,0.4346151053905487
PHI,BOS,08/21/2020,0.4958091974258423
DAL,LAC,08/21/2020,0.7333759665489197
ORL,MIL,08/22/2020,0.27458953857421875
MIA,IND,08/22/2020,0.3313254714012146
OKC,HOU,08/22/2020,0.40163925290107727
POR,LAL,08/22/2020,0.142701655626297
PHI,BOS,08/23/2020,0.5880286693572998
DAL,LAC,08/23/2020,0.6793251633644104
BKN,TOR,08/23/2020,0.5143833160400391
UTA,DEN,08/23/2020,0.26860567927360535
ORL,MIL,08/24/2020,0.3321648836135864
OKC,HOU,08/24/2020,0.5025907754898071
MIA,IND,08/24/2020,0.26235488057136536
POR,LAL,08/24/2020,0.27296313643455505
