home,away,date,prediction
IND,MIA,08/20/2020,0.5084578990936279
HOU,OKC,08/20/2020,0.44598469138145447
MIL,ORL,08/20/2020,0.33586353063583374
LAL,POR,08/20/2020,0.6051459312438965
BKN,TOR,08/21/2020,0.5366483330726624
UTA,DEN,08/21/2020,0.5650326609611511
PHI,BOS,08/21/2020,0.48622193932533264
DAL,LAC,08/21/2020,0.5132403373718262
ORL,MIL,08/22/2020,0.42235711216926575
MIA,IND,08/22/2020,0.3473665118217468
OKC,HOU,08/22/2020,0.39396342635154724
POR,LAL,08/22/2020,0.18117356300354004
PHI,BOS,08/23/2020,0.506748616695404
DAL,LAC,08/23/2020,0.46524807810783386
BKN,TOR,08/23/2020,0.5310263633728027
UTA,DEN,08/23/2020,0.39236533641815186
ORL,MIL,08/24/2020,0.4503961503505707
OKC,HOU,08/24/2020,0.4055449664592743
MIA,IND,08/24/2020,0.16532129049301147
POR,LAL,08/24/2020,0.3507032096385956
