home,away,date,prediction
DEN,LAL,09/22/2020,0.7752203224045359
MIA,BOS,09/23/2020,0.39350645521703587
DEN,LAL,09/24/2020,0.6927007911545359
BOS,MIA,09/25/2020,0.37171690443578587
LAL,DEN,09/26/2020,0.18085997084203587
MIA,BOS,09/27/2020,0.39729063490453587
LAL,MIA,09/30/2020,0.32096617201391087
LAL,MIA,10/02/2020,0.28986875990453587
MIA,LAL,10/04/2020,0.5769781349045359
