GameId,Team,Date,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,+/-,Result
455,SAS,20181219,DeMar DeRozan,32.743333333333325,8.3,18.2,45.06,0.0,0.4,0.0,5.8,6.8,82.45,0.7,4.3,5.0,6.4,2.0,0.9,0.5,1.6,22.4,-1.1,1
455,SAS,20181219,LaMarcus Aldridge,28.546666666666663,8.6,14.6,59.66,0.1,0.1,10.0,4.1,4.8,76.92999999999998,1.9,5.2,7.1,1.2,1.8,0.6,1.4,2.5,21.4,-1.5,1
455,SAS,20181219,Rudy Gay,28.16666666666667,6.3,10.6,54.34000000000001,1.2,2.7,34.33,2.0,2.1,47.5,0.9,5.3,6.2,2.3,1.5,1.1,0.6,2.5,15.8,1.9,1
455,SAS,20181219,Bryn Forbes,23.495,3.7,8.3,41.57,1.2,4.0,33.86,0.8,0.8,30.0,0.3,3.1,3.4,2.1,1.0,0.3,0.1,2.1,9.4,-2.9,1
455,SAS,20181219,Patty Mills,23.098333333333336,2.6,6.4,41.46,1.8,4.4,46.69,1.6,1.7,48.0,0.3,1.6,1.9,3.5,1.3,0.2,0.2,1.5,8.6,7.2,1
455,SAS,20181219,Derrick White,23.07333333333333,2.9,6.7,44.76000000000001,0.3,1.5,18.33,0.3,0.4,15.0,0.4,2.9,3.3,4.0,1.6,0.9,0.3,1.5,6.4,5.0,1
455,SAS,20181219,Marco Belinelli,21.313333333333333,3.5,8.0,42.50000000000001,2.0,4.9,35.42,0.7,0.7,30.0,0.2,2.0,2.2,1.5,0.6,0.3,0.2,1.4,9.7,3.5,1
455,SAS,20181219,Davis Bertans,20.133333333333333,2.8,5.6,50.81,1.8,3.9,44.21,0.9,1.0,27.5,0.6,2.6,3.2,1.0,0.5,0.6,0.5,1.5,8.3,5.8,1
455,ORL,20181219,Aaron Gordon,32.39333333333333,5.3,12.9,38.74,1.7,4.4,39.08,1.1,1.6,35.83,1.5,5.1,6.6,3.5,1.8,0.8,0.5,2.0,13.4,-2.1,1
455,ORL,20181219,Evan Fournier,31.710000000000008,4.6,11.9,37.23,1.7,5.4,27.15,1.7,2.1,41.34,0.5,2.8,3.3,2.8,2.2,0.6,0.3,3.5,12.6,-1.4,1
455,ORL,20181219,D.J. Augustin,28.27833333333333,3.6,7.9,47.540000000000006,1.5,3.6,41.83,1.6,1.7,65.0,0.4,2.2,2.6,5.0,1.8,0.2,0.0,1.1,10.3,2.3,1
455,ORL,20181219,Terrence Ross,27.796666666666663,5.8,12.2,48.02,2.0,5.2,39.71,2.0,2.4,53.21,0.1,2.5,2.6,1.5,0.7,1.2,0.3,1.2,15.6,-1.2,1
455,ORL,20181219,Jonathan Isaac,27.48833333333333,2.8,6.7,39.91,0.7,2.5,19.76,1.9,2.2,51.34,0.5,4.4,4.9,1.2,2.0,1.0,1.4,2.8,8.2,-0.5,1
455,ORL,20181219,Jonathon Simmons,22.836666666666666,2.8,6.6,41.17,0.7,2.2,25.0,1.1,1.4,45.0,0.4,1.8,2.2,2.0,1.5,0.6,0.2,1.3,7.4,-1.0,1
455,ORL,20181219,Jerian Grant,19.391666666666666,1.1,3.2,38.0,0.6,1.9,35.0,0.5,0.7,30.0,0.2,1.6,1.8,3.2,0.9,0.9,0.1,2.1,3.3,-3.9,1
455,ORL,20181219,Mo Bamba,15.943333333333333,2.7,6.0,46.14,1.0,2.0,48.33,0.5,0.8,35.0,1.4,3.1,4.5,1.1,0.9,0.4,1.4,2.1,6.9,-4.5,1
