GameId,Team,Date,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,+/-,Result
750,OKC,20190129,Paul George,38.318333333333335,8.7,20.1,43.07000000000001,4.5,9.7,45.89,6.4,7.8,77.36000000000001,1.6,6.9,8.5,4.0,2.3,2.6,0.2,2.3,28.3,8.2,1
750,OKC,20190129,Russell Westbrook,37.486666666666665,8.5,21.1,41.39,1.3,4.7,27.340000000000003,5.0,7.0,70.9,1.9,8.4,10.3,12.7,3.9,1.6,0.4,3.6,23.3,5.4,1
750,OKC,20190129,Jerami Grant,35.65499999999999,5.2,10.6,47.49,1.1,3.5,33.660000000000004,3.1,4.2,68.25,0.7,4.5,5.2,1.4,0.7,0.9,2.3,3.7,14.6,3.6,1
750,OKC,20190129,Dennis Schroder,26.03333333333333,5.1,12.3,41.42,1.9,4.3,40.71,2.6,3.0,80.5,0.2,1.8,2.0,4.2,1.5,0.9,0.0,2.0,14.7,-2.6,1
750,OKC,20190129,Alex Abrines,18.515000000000004,1.5,4.0,30.95000000000001,1.0,3.4,22.46,0.4,0.4,20.0,0.2,1.6,1.8,0.5,0.5,0.6,0.2,1.6,4.4,-0.7,1
750,OKC,20190129,Patrick Patterson,13.685,1.8,3.0,50.97,1.1,1.9,40.83,0.2,0.4,6.67,0.9,1.1,2.0,0.7,0.3,0.0,0.2,0.3,4.9,-3.6,1
750,OKC,20190129,Nerlens Noel,13.281666666666665,2.3,3.8,59.63,0.0,0.0,0.0,0.3,0.4,15.0,1.5,2.2,3.7,0.4,0.4,1.1,0.8,1.9,4.9,-1.6,1
750,OKC,20190129,Abdel Nader,13.023333333333335,2.1,4.1,40.34,0.6,1.5,40.0,0.6,0.9,26.67,0.2,2.1,2.3,0.4,0.5,0.3,0.1,1.2,5.4,-4.0,1
750,ORL,20190129,Aaron Gordon,35.084999999999994,6.6,14.3,46.73,1.6,5.0,30.610000000000007,3.7,4.5,73.76000000000002,1.9,6.4,8.3,3.1,2.4,0.5,0.4,2.0,18.5,-1.5,1
750,ORL,20190129,Evan Fournier,35.001666666666665,5.4,13.4,37.41,1.2,5.0,23.69,2.1,2.6,52.21999999999999,0.4,2.4,2.8,3.1,1.3,1.1,0.0,2.9,14.1,-1.9,1
750,ORL,20190129,Nikola Vucevic,32.955,9.4,19.6,48.3,1.2,3.4,33.15000000000001,2.2,3.0,71.0,3.2,8.8,12.0,4.0,2.1,0.9,1.0,2.2,22.2,-1.2,1
750,ORL,20190129,Terrence Ross,29.606666666666666,6.1,14.3,42.73,2.7,8.2,31.73,1.5,1.8,60.84,0.4,3.4,3.8,2.1,1.0,1.1,0.4,1.4,16.4,-1.4,1
750,ORL,20190129,Jonathan Isaac,28.89833333333333,3.4,8.0,42.8,1.0,3.4,27.21,0.9,1.1,50.0,1.6,4.5,6.1,1.9,0.7,0.5,1.1,1.9,8.7,-1.1,1
750,ORL,20190129,D.J. Augustin,28.78333333333334,4.4,8.8,48.44000000000001,2.1,4.4,47.33,2.3,3.1,61.43000000000001,0.7,1.5,2.2,4.3,2.2,0.5,0.0,1.6,13.2,-0.2,1
750,ORL,20190129,Jonathon Simmons,18.608333333333334,2.1,6.6,30.53,0.3,1.7,15.0,0.6,1.0,26.67,0.8,2.0,2.8,3.2,1.4,0.3,0.1,1.8,5.1,-2.8,1
750,ORL,20190129,Mo Bamba,15.575,2.3,3.9,57.55,0.2,0.6,10.0,1.0,1.6,40.0,1.1,3.9,5.0,0.4,1.4,0.1,1.6,1.5,5.8,-1.8,1
