GameId,Team,Date,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,+/-,Result
964,CHA,20190306,Kemba Walker,36.995,9.6,23.2,41.18,3.6,10.7,32.35,4.3,4.9,81.25,0.8,3.2,4.0,6.2,3.1,1.8,0.0,1.8,27.1,3.6,1
964,CHA,20190306,Nicolas Batum,36.39833333333333,4.3,9.9,41.42,2.4,6.2,40.55,1.1,1.3,52.5,0.9,4.4,5.3,4.4,1.5,1.5,0.8,2.2,12.1,-1.0,1
964,CHA,20190306,Marvin Williams,30.56833333333333,4.3,8.8,45.76,1.3,4.5,30.12,0.7,0.9,30.0,1.5,4.9,6.4,1.3,0.5,0.7,0.8,2.6,10.6,0.6,1
964,CHA,20190306,Jeremy Lamb,29.54333333333333,6.0,13.3,45.74,1.5,4.3,34.82,3.8,4.2,90.0,1.0,4.5,5.5,2.7,1.2,1.2,0.6,1.9,17.3,1.6,1
964,CHA,20190306,Cody Zeller,28.878333333333334,4.8,8.7,54.13999999999999,0.0,0.5,0.0,4.0,5.3,73.75,2.9,5.6,8.5,2.0,1.3,1.0,1.0,3.4,13.6,-0.5,1
964,CHA,20190306,Miles Bridges,19.540000000000006,2.9,6.2,46.51,0.7,2.0,35.83,0.5,0.6,30.0,1.2,2.3,3.5,0.3,0.9,1.1,0.6,1.8,7.0,-4.6,1
964,CHA,20190306,Tony Parker,16.240000000000002,3.9,8.0,38.62,0.2,0.9,8.33,1.3,1.7,54.17,0.4,1.1,1.5,3.6,1.3,0.1,0.2,1.2,9.3,-2.8,1
964,CHA,20190306,Bismack Biyombo,11.57,0.8,1.3,60.0,0.0,0.0,0.0,1.7,2.1,57.5,0.9,2.9,3.8,0.4,0.5,0.1,0.7,1.3,3.3,-1.4,1
964,MIA,20190306,Josh Richardson,35.75000000000001,6.6,13.6,46.75,2.4,6.7,30.19,1.9,2.4,75.5,0.7,2.8,3.5,5.4,1.8,0.7,0.4,3.3,17.5,1.6,1
964,MIA,20190306,Justise Winslow,31.774999999999995,5.5,12.4,44.87,1.5,4.5,35.63,1.1,2.2,42.5,1.4,5.2,6.6,4.8,2.1,1.3,0.2,2.9,13.6,2.2,1
964,MIA,20190306,Dion Waiters,30.576666666666664,5.0,11.4,42.52,2.4,6.3,37.35,1.5,2.2,62.5,0.3,3.2,3.5,3.9,2.4,0.9,0.3,2.1,13.9,-1.9,1
964,MIA,20190306,Kelly Olynyk,28.49833333333333,5.6,10.7,49.23,1.8,4.2,43.01,1.8,1.9,58.0,1.1,4.7,5.8,2.4,2.0,0.8,0.6,3.5,14.8,0.8,1
964,MIA,20190306,Dwyane Wade,26.54333333333333,6.7,14.4,45.83,0.8,2.9,17.91,1.4,2.7,29.5,1.0,2.5,3.5,4.1,2.8,1.2,1.0,1.3,15.6,-5.3,1
964,MIA,20190306,Hassan Whiteside,24.6,6.3,10.3,58.37000000000001,0.0,0.1,0.0,1.3,2.6,33.07,3.4,7.7,11.1,0.9,1.0,1.5,1.1,2.5,13.9,-0.8,1
964,MIA,20190306,Bam Adebayo,23.141666666666666,2.8,5.2,54.63,0.0,0.1,0.0,2.7,3.3,61.63,1.8,5.3,7.1,3.0,1.3,0.8,0.9,2.8,8.3,-1.0,1
964,MIA,20190306,Rodney McGruder,20.43666666666667,2.1,4.8,49.89,0.9,2.7,26.67,0.7,1.0,35.0,0.9,3.3,4.2,0.8,0.4,0.5,0.3,1.3,5.8,2.1,1
