GameId,Team,Date,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,+/-,Result
1182,BOS,20190405,Kyrie Irving,34.76333333333333,9.6,22.1,43.18,2.8,9.1,30.050000000000004,4.5,5.1,69.24000000000001,0.9,4.8,5.7,7.0,2.6,1.7,0.6,3.1,26.5,-0.1,1
1182,BOS,20190405,Jayson Tatum,32.84666666666667,5.7,13.0,45.04,1.6,3.7,44.90000000000001,1.2,1.7,42.5,0.7,4.9,5.6,4.0,1.7,0.6,0.4,2.0,14.2,0.2,1
1182,BOS,20190405,Al Horford,30.97,6.6,12.0,55.07000000000001,0.9,2.6,23.33,2.0,2.4,59.16,1.7,4.9,6.6,4.9,1.4,0.7,0.8,1.6,16.1,6.6,1
1182,BOS,20190405,Marcus Morris Sr.,30.63666666666667,4.5,11.6,38.92,1.8,4.8,37.24999999999999,2.2,2.6,42.9,1.6,5.4,7.0,1.6,1.3,0.9,0.5,2.3,13.0,-7.0,1
1182,BOS,20190405,Marcus Smart,28.46333333333333,4.1,9.2,44.56,1.5,4.4,29.69,1.2,1.4,41.67,0.6,2.0,2.6,4.1,1.5,2.0,0.2,2.7,10.9,-0.7,1
1182,BOS,20190405,Gordon Hayward,24.806666666666665,4.3,8.1,47.8,0.8,2.2,29.320000000000004,3.3,4.1,68.9,0.3,4.2,4.5,2.8,1.4,0.4,0.3,1.5,12.7,-0.4,1
1182,BOS,20190405,Terry Rozier,21.916666666666664,2.7,8.0,28.18,1.1,3.8,22.33,0.7,1.0,30.0,0.4,2.7,3.1,2.3,0.7,0.5,0.2,1.1,7.2,-6.0,1
1182,BOS,20190405,Aron Baynes,21.26,2.4,4.9,54.17,0.4,0.7,40.0,1.1,1.2,35.0,2.0,4.3,6.3,0.6,0.8,0.4,0.9,3.1,6.3,2.8,1
1182,IND,20190405,Bojan Bogdanovic,31.69833333333333,7.5,14.5,50.58,2.1,4.9,33.33,3.6,4.3,74.91999999999999,0.3,4.1,4.4,2.7,2.2,1.0,0.1,1.3,20.7,1.1,1
1182,IND,20190405,Thaddeus Young,31.578333333333337,5.6,10.7,51.07,0.9,2.5,24.83,1.3,1.6,60.83,2.5,5.1,7.6,3.0,1.8,1.0,0.4,1.7,13.4,-2.6,1
1182,IND,20190405,Wesley Matthews,31.440000000000005,3.5,9.3,37.8,1.7,4.8,32.71,1.4,1.7,52.5,0.9,2.2,3.1,2.9,1.3,0.7,0.3,2.0,10.1,-0.9,1
1182,IND,20190405,Myles Turner,30.616666666666664,5.3,11.0,49.01,1.0,3.4,30.0,3.6,4.4,66.65,2.0,6.5,8.5,1.3,1.0,1.0,2.0,2.6,15.2,-1.9,1
1182,IND,20190405,Domantas Sabonis,25.29666666666667,5.4,10.1,52.42,0.1,0.2,10.0,1.9,3.1,69.0,3.0,7.4,10.4,3.2,2.1,0.2,0.3,3.3,12.8,2.5,1
1182,IND,20190405,Cory Joseph,24.51,1.1,4.9,21.15,0.1,1.1,10.0,0.3,0.4,15.0,0.5,1.7,2.2,3.9,0.9,2.0,0.2,1.9,2.6,-1.5,1
1182,IND,20190405,Tyreke Evans,22.42,4.1,10.6,37.1,0.6,2.2,15.0,1.6,2.7,54.33000000000001,0.3,3.6,3.9,2.8,1.9,0.6,0.3,1.9,10.4,-2.8,1
1182,IND,20190405,Doug McDermott,18.946666666666665,4.4,7.6,57.61,1.0,2.4,34.66,0.1,0.2,10.0,0.3,1.0,1.3,0.8,0.8,0.1,0.1,1.4,9.9,4.3,1
