GameId,Team,Date,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,+/-,Result
684,MIA,20190119,Josh Richardson,33.24166666666666,5.2,12.9,39.75,1.9,5.6,29.43,3.0,3.3,73.83,0.6,2.7,3.3,5.0,0.8,0.7,0.5,2.2,15.3,0.0,1
684,MIA,20190119,Justise Winslow,30.55333333333333,6.3,14.0,45.17,1.5,4.0,32.12,1.4,2.5,48.34,0.6,5.6,6.2,5.6,1.8,1.2,0.3,2.2,15.5,1.5,1
684,MIA,20190119,Bam Adebayo,25.65166666666667,3.8,6.0,62.17,0.0,0.3,0.0,2.0,2.4,79.64,2.2,4.1,6.3,2.8,1.5,0.9,0.7,2.3,9.6,1.5,1
684,MIA,20190119,Dwyane Wade,25.015,5.4,10.7,49.41,0.8,2.7,24.33,1.8,3.1,34.52,0.4,2.7,3.1,4.8,2.1,0.8,0.6,1.6,13.4,-4.9,1
684,MIA,20190119,Hassan Whiteside,24.07333333333333,5.1,8.8,55.34,0.0,0.2,0.0,1.3,3.5,32.67,2.7,7.4,10.1,0.5,1.3,0.3,1.8,2.6,11.5,2.0,1
684,MIA,20190119,Tyler Johnson,23.925,3.6,9.0,39.31,1.6,4.6,35.7,0.7,1.0,20.0,0.5,2.4,2.9,2.8,1.1,1.2,0.4,1.3,9.5,-0.9,1
684,MIA,20190119,Derrick Jones Jr.,20.748333333333328,3.5,5.9,68.59,0.7,1.6,29.17,1.2,1.6,49.67,1.6,2.5,4.1,0.6,1.1,1.2,0.6,1.7,8.9,0.7,1
684,MIA,20190119,Rodney McGruder,20.718333333333334,2.5,6.7,37.0,1.4,3.8,36.33,0.3,0.5,13.330000000000002,0.8,1.8,2.6,1.7,1.2,0.2,0.4,1.9,6.7,-0.1,1
684,CHI,20190119,Lauri Markkanen,31.96833333333333,6.3,14.1,43.72,2.1,5.8,32.57,1.8,2.3,75.17,0.8,6.5,7.3,0.8,1.9,0.8,0.8,2.0,16.5,-11.6,1
684,CHI,20190119,Kris Dunn,31.055,4.9,11.2,42.64,0.6,1.4,35.0,1.2,1.4,61.67,0.2,3.3,3.5,7.1,2.4,1.5,0.6,3.2,11.6,-13.3,1
684,CHI,20190119,Zach LaVine,30.99166666666667,7.0,15.9,44.82,1.8,4.3,38.42,3.9,4.5,76.65,0.8,2.4,3.2,3.1,2.4,0.5,0.2,2.8,19.7,-10.8,1
684,CHI,20190119,Chandler Hutchison,24.46833333333333,3.7,6.9,59.02,0.3,1.2,16.669999999999998,0.4,0.5,25.0,0.9,3.6,4.5,0.7,0.5,0.5,0.0,1.3,8.1,-4.7,1
684,CHI,20190119,Bobby Portis,20.701666666666664,4.7,11.7,41.01000000000001,1.1,3.0,40.0,2.0,2.7,58.75,2.3,4.4,6.7,1.1,1.4,0.4,0.3,1.8,12.5,-10.7,1
684,CHI,20190119,Jabari Parker,20.261666666666667,4.5,9.0,45.55,0.7,1.7,30.0,1.5,2.0,38.5,0.9,4.2,5.1,1.8,1.7,0.4,0.2,1.8,11.2,-8.0,1
684,CHI,20190119,Ryan Arcidiacono,18.6,1.0,3.2,26.33,0.6,2.1,25.0,1.3,1.3,30.0,0.3,1.4,1.7,2.3,0.6,0.8,0.1,1.3,3.9,-3.3,1
684,CHI,20190119,Shaquille Harrison,18.323333333333334,1.9,6.0,35.76000000000001,0.4,1.4,20.0,1.1,1.8,42.62,0.7,2.3,3.0,1.9,0.8,0.9,0.3,1.7,5.3,-3.1,1
